"Ingredient Code","Ingredient Name","Purchase UOM","Conversion Rate (to 1 unit of BOM UOM)","Ingredient Category","Cost Effective Date","Ingredient Purchase Price","Lead Time (Days)","MOQ (Quantity)","MOQ (UOM)","MOQ (Remark)","Shelf-life (Days)"
GIG-0073,SHAVING CURLED DARK CHOCOLATE (1BOX X 2.5KG),BOX,0.0004,TOPPING,"2023-01-01",27.5,14.0,,,,90.0
GIG-0087,DRINKING CREAM POWDER (1PKT X 1KG),KG,0.001,POWDER,"2023-01-01",70.0,90.0,10.0,CTN,,150.0
GIG-0095,SOUTH LEMONGRASS GINGER TEA (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-01-01",1.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-01-01",15.0,14.0,,,,7.0
GIG-0110,ONION HOLLAND (1PKT X 1KG),KG,0.001,RAW MATERIAL,"2023-01-01",10.0,14.0,,,,7.0
GIG-0111,GARLIC PEELED (1PKT X 1KG),KG,0.001,RAW MATERIAL,"2023-01-01",10.0,14.0,,,,7.0
GIG-0115,SACHET BROWN SUGAR (1CTN X 10BOX X 250SCT),SCT,1.0,RAW MATERIAL,"2023-01-01",0.2,14.0,,,,90.0
GIG-0116,WHIPPING CREAM (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-01-01",9.0,3.0,,,,60.0
GIG-0121,LEMON (KG),KG,0.0125,RAW MATERIAL,"2023-01-01",15.2,14.0,,,,7.0
GIG-0175,MIXED BERRY POWDER (1PKT X 1KG),KG,0.001,POWDER,"2023-01-01",140.0,90.0,10.0,CTN,,150.0
GIG-0338,BASIC CHOCOLATE ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-01-01",50.0,14.0,,,,30.0
GIG-0339,COOKIES & CREAM ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-01-01",50.0,14.0,,,,30.0
GIG-0340,VANILLA ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-01-01",50.0,14.0,,,,30.0
GIG-0341,BOIRON BANANA PUREE (1CTN X 6TRAY X 1KG),KG,0.001,RAW MATERIAL,"2023-01-01",200.0,14.0,,,,7.0
GIG-0457,BUTTERSCOTCH FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0472,COCOA POWDER (1CTN X 40PKT X 500G),PKT,0.002,POWDER,"2023-01-01",35.0,90.0,10.0,CTN,,150.0
GIG-0485,COCONUT MILK (1CTN X 12BTL X 1L),BTL,0.001,RAW MATERIAL,"2023-01-01",10.0,14.0,,,,60.0
GMD-0028,RWANDA BEANS (250GM),PKT,0.004,COFFEE BEANS,"2023-01-01",35.0,7.0,,,,90.0
GMD-0029,INDONESIA HONEY PROCESS BEANS (250GM),PKT,0.004,COFFEE BEANS,"2023-01-01",35.0,7.0,,,,90.0
GMD-0030,INDONESIA NATURAL PROCESS BEANS (250GM),PKT,0.004,COFFEE BEANS,"2023-01-01",35.0,7.0,,,,90.0
GPK-0008,WOODEN COFFEE STIRRER 14CM (1PKT X 1000PCS),PCS,1.0,OTHERS,"2023-01-01",0.3,30.0,,,,240.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-01-01",0.42,60.0,100.0,CTN,,240.0
GPK-0025,LARGE BROWN PAPER BAG (1CTN X 250PCS),PCS,1.0,PAPER BAG,"2023-01-01",0.87,60.0,100.0,CTN,,240.0
GPK-0034,"4 CUP CARRIER (1CTN X 4ROLL X 100PCS)",PCS,1.0,OTHERS,"2023-01-01",0.52,30.0,,,,240.0
GPK-0038,GIGI COFFEE CUP SLEEVE (1BDL X 1000PCS),PCS,1.0,SLEEVE,"2023-01-01",0.31,60.0,,,,240.0
GPK-0039,HOME BARISTA CUP SLEEVE (1BDL X 1000PCS),PCS,1.0,SLEEVE,"2023-01-01",0.31,60.0,,,,240.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-01-01",0.96,90.0,,,,240.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-01-01",0.9,90.0,100.0,CTN,,240.0
GPK-0054,PAPER CUP LIDS TRANS (STRAWLESS) (1CTN X 20ROLL X 100PCS),PCS,1.0,LIDS,"2023-01-01",0.326,90.0,,,,240.0
